#{"t_start": 1771225423.6887798, "env_id": "None"}
r,l,t
-309.13953,345,1833.966631
-247.52809,453,1840.404495
-397.27057,572,1841.489048
-364.85474,309,1847.030401
-370.64484,443,1848.145296
-400.56027,406,1852.99406
-400.62097,412,1853.479953
-400.12067,362,1856.863441
-323.87827,345,1858.835279
-339.74945,287,1861.376977
-401.1501,465,1873.732875
-384.43774,277,1876.663026
-331.07715,424,1876.868735
-278.81235,465,1878.586996
-294.70074,396,1879.860914
-400.821,432,1881.742847
-400.3904,389,1882.341919
-260.5224,410,1888.803475
-292.1687,301,1898.011867
-399.7205,322,1899.385785
-354.79138,372,1903.745198
-401.36996,487,1905.949879
-340.06482,404,1906.521494
-400.94025,444,1910.720845
-222.2341,523,1915.29373
-396.56775,463,1917.54385
-263.76556,391,1922.852304
-275.571,396,1936.745872
-385.92377,547,1937.588968
-324.5393,341,1939.09034
-216.32124,423,1939.471844
-401.86978,537,1942.706711
-339.50723,328,1944.164557
-322.78046,251,1955.993321
-368.58463,300,1957.13658
-194.64087,610,1961.809037
-324.62924,385,1963.128185
-236.2532,359,1967.946293
-185.75359,633,1969.47295
-401.73026,473,1969.473005
-250.29765,421,1970.062673
-300.96356,439,1982.961358
-278.82706,343,1984.198456
-276.73273,413,1987.547984
-273.9875,332,1991.145254
-402.30048,580,1993.750502
-354.27005,365,1994.221604
-338.9691,385,1995.031051
-401.95108,545,2003.815385
-400.44058,394,2008.935277
-337.26294,357,2010.409599
-401.14072,464,2013.027208
-385.30457,379,2016.846116
-400.72125,422,2016.846171
-400.56042,406,2018.49309
-246.9691,454,2023.208976
-323.61853,299,2027.493129
-263.04144,441,2031.118725
-276.5844,322,2038.827609
-391.14117,472,2045.297791
-321.2541,345,2046.374897
-402.6102,561,2046.936857
-368.31967,268,2048.830619
-384.63748,373,2051.691386
-401.54065,504,2051.809458
-223.80507,527,2052.110126
-321.90408,356,2068.444988
-339.84943,362,2074.931365
-264.31927,388,2078.371414
-291.01675,387,2080.438309
-239.9921,433,2080.644575
-361.58838,389,2083.654415
-402.42026,542,2093.669078
-384.27097,398,2094.431625
-260.3307,351,2097.665953
-276.52716,298,2100.078012
-400.21008,371,2108.984299
-171.5928,492,2111.152522
-101.1182,812,2112.444649
-400.01056,351,2116.906122
-261.75244,355,2117.859863
-154.0738,592,2119.280771
